title,link
AMD RADEON RX 470 8GB || GRAPHICS CARD || REFURBISHED + NEW THERMAL PASTE,https://www.ebay.ca/itm/355752509904?hash=item52d48081d0:g:0EoAAOSwtG5j0CHF&itmprp=enc%3AAQAJAAAAwD%2F5rxJO4wo%2BJZ7xFzN75j4TY%2FK6pCf4qu8MKk4b1F%2FHDsm1V%2FvhwrYlo0fmvBhBZ7eBAt1FZSCTZbMZmzj0h2LFh9a7q%2FY7ZEiA43KARn%2FvsoeXLOiaW8cK11WleiWlw3RCAGQ1iTW3w%2FQtF6vDQ3B%2FxysY3D6xPwvh2kaeRpX07Vkxibjlqe6wqDbhJ69Ye%2FPMzW1QBG5oo8hrqKyX%2BMcObCjJEBpEvzQhj6NidLSL%2BNvgysxI%2F3dliS42Kf2wRw%3D%3D%7Ctkp%3ABlBMULDH3K_9Yw
EVGA GeForce RTX 3060 XC GAMING 12GB GDDR6 Graphics Card (12G-P5-3657-KR),https://www.ebay.ca/itm/315413777325?epid=2315640392&hash=item4970204bad:g:bIgAAOSwXWlmXj4P&itmprp=enc%3AAQAJAAAA4OE2z%2BG3QhhPgP%2BOaOomwWMUGwYb3irSx7GGgbVTb3h29gU6zkzL6HL1uhjeBc6sJ7n267LbdfRxGaVUTYWnV7aackpMf%2Fq5LI6MEcJvVXgZOY1FE7HBFojNnuLdUu95%2FKgBzPLQ%2BNerE3%2F2%2B2Zw4odzxP4Uy%2FbpDfCyLcVNX1dszwd01IbGuD%2BZoLd8GCYnZLN2AUDc5VH4p8Qcizn7ZrDMmAicSg1ncX3Ifxu50%2Fo05F%2BzoTQNuuyCUDk4hYgc3EvuksqbqlsoYC%2BqkthJ1bFeUL2QsWhxYEcfe8SWs7Lw%7Ctkp%3ABFBMssfcr_1j
MSI Nvidia GeForce GTX 1080 Armor OC 8GB GDDR5 Graphics Card ‎Fully Tested,https://www.ebay.ca/itm/355681936065?hash=item52d04ba2c1:g:nhoAAOSwMb1mMGqA&itmprp=enc%3AAQAJAAAA4Ec8pTfbJ5bYYdv0U3HrtKfY7jG5aJtQl0yNWuLNwL0bABxJfhr8KwafEuYcCDLP1g7XZgT4TZ9IAVtUlOh2bUnZh5acAPStEfO1c%2Br76eQ6Zyxox%2BZlUyGCqo33KSK47qrTjR9de%2BsSVbYraOoEhgMegTm7ZAHsRHlkXIOqrWtNq0NWWthtHqJZgfcGUR0QeivEnrjYygtY66vkhHg60rx9sIQNQ2m2XqGwmqRc1dYAU9PB9JsP361OE5kyV3kkU%2B4svhoq7h02YNfS%2FEp94ff7uIXKGxuyGpHJy2X70y1g%7Ctkp%3ABk9SR7LH3K_9Yw
PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card - READ,https://www.ebay.ca/itm/196421058234?hash=item2dbb9b7eba:g:uhkAAOSw9RVmTZLF&itmprp=enc%3AAQAJAAAA4EL6SF5IOrJ4gFxN2QVd8RfS8yBGA8I%2F%2BrjDm5V2F8%2BeNsQICTqbTW0yRQYIHudaruo3adlHsTW7Vkg%2FFIXpyOVy7e4RwY2HPneOm7G3WDIRt%2Fx4Ivqcbp5iQM81joPWYcPtBtVZZyNVmeEDYnS3So8dbvnjaGKjeS2AwHGBq4dpXV72iKXXQRW1Fjj2sSz03mVwpNw4bKwkYOJNwfNzI3CUxeLKAPRIy%2Fcqrf%2FDzi2LN8KXJVlBHYuw3aZi1y9pdejRhCt4ZedYAscqdHLYPkIXZ7JEHoYhAj4Adb7HGdFr%7Ctkp%3ABk9SR7LH3K_9Yw
NVIDIA GEFORCE RTX 2060 6GB GDDR6 GRAPHICS CARD - HP L58312-001,https://www.ebay.ca/itm/256518122765?epid=7056278315&hash=item3bb9abed0d:g:7QUAAOSwyFtmS6ri&itmprp=enc%3AAQAJAAAA4OKTn%2FrJ0DyeNIwezU7sB3dpBV9a2qW%2BmWq4rPDxcWqNlwqCGYGwAjkiQjBfCSJuXBeknQh6ThhfN%2F4ZuGYFvy2xVDTG1ajtG%2Br53H5H99Xq8FBaW%2B2U6rS0hn8XLK15GGcrV%2FXTPuve8BmJnmfx4lnlIJBGHfWKdeyL7Qk9ltFHecJWalUKI4QOvnaziH0o8Tw%2Bx5caLZ%2F%2BC1EZKdXUlegat32pZHFe4pqN1Y3cCzw0L4eQubcFnIQmOc48DOvZq9kahwHdJwrOHr7mw%2B9QHwBme7t6v3XJl%2FHX2xQvXBn6%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingNVIDIA GeForce RTX 2080 8GB GDDR6 Graphics Card (9001G1802500000),https://www.ebay.ca/itm/276496500657?hash=item406079c7b1:g:fhcAAOSwiExl84x9&itmprp=enc%3AAQAJAAAAwHTRdkzqsMU1TB0g9lvTzKId1O0Pqyey7GHYjFZw74PiQUUwv5RNVX2VqRaKFNuP8ZQSvA6T%2B1lMKYmif%2B15eHLtXqRP0CWLX65t3eUBBooL57R0JN1QnluGWU4%2FRa2qqZCBR9qssYy3s%2BoEUn414Zcn5ZocVFNE1Rr66ldgOhGbgIJ%2BOu8uzok1yDYx0s9WGkFQzsAfm4SxLkajWik8xWaRTeagxoLpqby24gBwsCapqBOmNCpDZ5zlRMwBCgfnLw%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingASUS Cerberus GeForce GTX 1050 TI 4gb OC Edition Gddr5 Gaming Graphics Card,https://www.ebay.ca/itm/186478532424?hash=item2b6afc9748:g:RfgAAOSwNIdmYNnp&itmprp=enc%3AAQAJAAAAwNL7pMkHgdvg2H2qvPZS%2FeX9WHidVKLw9xbYT5dMFrw3dz5yE00dpQ7s%2Bw69ZQFIY%2FakD7a2pVkmlZVkS7CoFwyOSKHVJRJUl7ubV5Ghy2Z2wGjmmiFkIkQ6htarN90JUsrEniqXGSb7cLU1KyfNYZ4jPJt5Czkke7kHzQl6pCE52EvG7oQK2ilp7dxj28Ov7OxxDkmdvISn9wsu4lKySxvIlklCsEgzSrFFYhvtPiroWQ3gS%2B4rZN99qJ9XXdgKdA%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
ASRock AMD Radeon RX 6900 XT OC Formula 16GB GDDR6 Graphics Card,https://www.ebay.ca/itm/405017162422?epid=17046137489&hash=item5e4ce772b6:g:Ed8AAOSwVtNmX1T6&itmprp=enc%3AAQAJAAAAwBmrq1hcp4sc6W4X1kpdd0Z3Yr3wH20q3M9nNhxpz5wZrGRJRXxF%2BXSotEbJ2o3Og37L9rT9wqsI5vH2R8mB8l9v9zXMnKw9UtvPHa0S3BS%2F09F3CatEqDLDqnagu0wisKeUrBtiKc30o3btNAZQZkgqeb1nWNrWx1DJ3qVtEgXuLoAh3iv8T07odjlfmiB1gSdov01%2Be4O8LfvIZv8%2FiuPGYGtbuvlrX%2BaDeDEEBGMYangEyXDLkGB3FFirbbDM5w%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingXFX Radeon RX 5700 XT 8GB GDDR6 Graphics Card (RX57XT83LD8) 5700XT Original Box,https://www.ebay.ca/itm/156243398029?epid=22045601389&hash=item2460d50d8d:g:0-oAAOSwtiVmQ915&itmprp=enc%3AAQAJAAAAwGSQvb7KRztKd%2F5WyYMP3lrwZGroVIu%2FG4%2B6Vjtav42ePqSCjwqEdSZ%2FZefSwa9gmxTRSJtc%2FMT7IR%2FBVC2OgbD%2B7W8AfpMyQGrDI4jGLKok1V1AY%2Fv4BKh%2FUOZuIFxDkVL3vwMUNYjRbdgQ6EYhsYhtPcb89HePSvErQTOoxfmJgsLkMZcuWrYw0sypeavkjMGS9Zqc%2Bd84XYkzQRSId4y5hjZz5gxwiBoeS2tq3PwApUyXmxzSKZIsVQHSFodNIw%3D%3D%7Ctkp%3ABk9SR7LH3K_9Yw
New ListingMSI GeForce RTX 4090 SUPRIM LIQUID X 24GB GDDR6X Graphics Card BRAND NEW SEALED,https://www.ebay.ca/itm/335427397479?hash=item4e1907e767:g:jgkAAOSwiA9mYL-P&itmprp=enc%3AAQAJAAAA4OGsuqYAhRY0LwrF6possr2dI%2BKD835%2F17x1%2FGErNH7ls03uTdH0EXeWGpBgwXP1PLEQbr0X0EDfKZR54XqXJPGJqKxzyE5KDywaqWDGEJTxyBI4i%2FMpD%2F132PwnCT8SK5uMkAoLl6UYV5CXiDZqkdalvDFSxK1ByiMdieq7mCasVR3JbAwYbFFaZNGWhq4PQaouKjS5FQRnRKfX0ZjbsoOnqAgg3q5ZAd7nVepKo96DQWyyB9GkezU8%2BiwOcrXM%2FJp7vqzuL2vWVkhkhdilm9Komsid3AEv49FXXVX0XcK4%7Ctkp%3ABk9SR7LH3K_9Yw
